title,authors,year,venue,journal_ref,abstract,arxiv_url,arxiv_id,doi,field,source_api,extra
Privacy in Image Datasets: A Case Study on Pregnancy Ultrasounds,Rawisara Lohanimit; Yankun Wu; Amelia Katirai; Yuta Nakashima; Noa Garcia,2026,"Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society (AIES '25), 2025, pp. 1623-1636","Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society (AIES '25), 2025, pp. 1623-1636","The rise of generative models has led to increased use of large-scale datasets collected from the internet, often with minimal or no data curation. This raises concerns about the inclusion of sensitive or private information. In this work, we explore the presence of pregnancy ultrasound images, which contain sensitive personal information and are often shared online. Through a systematic examination of LAION-400M dataset using CLIP embedding similarity, we retrieve images containing pregnancy ultrasound and detect thousands of entities of private information such as names and locations. Our findings reveal that multiple images have high-risk information that could enable re-identification or impersonation. We conclude with recommended practices for dataset curation, data privacy, and ethical use of public image datasets.",https://arxiv.org/abs/2602.07149v1,2602.07149v1,10.1609/aies.v8i2.36661,Computer Science,arXiv,{}
Unmediated AI-Assisted Scholarly Citations,Stefan Szeider,2026,"Open Conference Proceedings, Vol. 8 (2026): The Second Bridge on Artificial Intelligence for Scholarly Communication (AAAI-26)","Open Conference Proceedings, Vol. 8 (2026): The Second Bridge on Artificial Intelligence for Scholarly Communication (AAAI-26)","Traditional bibliography databases require users to navigate search forms and manually copy citation data. Language models offer an alternative: a natural-language interface where researchers write text with informal citation fragments, which are automatically resolved to proper references. However, language models are not reliable for scholarly work as they generate fabricated (hallucinated) citations at substantial rates.
  We present an architectural approach that combines the natural-language interface of LLM chatbots with the accuracy of direct database access, implemented through the Model Context Protocol. Our system enables language models to search bibliographic databases, perform fuzzy matching, and export verified entries, all through conversational interaction.
  A key architectural principle bypasses the language model during final data export: entries are fetched directly from authoritative sources, with timeout protection, to guarantee accuracy. We demonstrate this approach with MCP-DBLP, a server providing access to the DBLP computer science bibliography. The system transforms form-based bibliographic services into conversational assistants that maintain scholarly integrity. This architecture is adaptable to other bibliographic databases and academic data sources.",https://arxiv.org/abs/2602.01686v1,2602.01686v1,10.52825/ocp.v8i.3161,Computer Science,arXiv,{}
Soft Shadow Diffusion (SSD): Physics-inspired Learning for 3D Computational Periscopy,Fadlullah Raji; John Murray-Bruce,2026,European Conference on Computer Vision (ECCV 2024),European Conference on Computer Vision (ECCV 2024),"Conventional imaging requires a line of sight to create accurate visual representations of a scene. In certain circumstances, however, obtaining a suitable line of sight may be impractical, dangerous, or even impossible. Non-line-of-sight (NLOS) imaging addresses this challenge by reconstructing the scene from indirect measurements. Recently, passive NLOS methods that use an ordinary photograph of the subtle shadow cast onto a visible wall by the hidden scene have gained interest. These methods are currently limited to 1D or low-resolution 2D color imaging or to localizing a hidden object whose shape is approximately known. Here, we generalize this class of methods and demonstrate a 3D reconstruction of a hidden scene from an ordinary NLOS photograph. To achieve this, we propose a novel reformulation of the light transport model that conveniently decomposes the hidden scene into \textit{light-occluding} and \textit{non-light-occluding} components to yield a separable non-linear least squares (SNLLS) inverse problem. We develop two solutions: A gradient-based optimization method and a physics-inspired neural network approach, which we call Soft Shadow diffusion (SSD). Despite the challenging ill-conditioned inverse problem encountered here, our approaches are effective on numerous 3D scenes in real experimental scenarios. Moreover, SSD is trained in simulation but generalizes well to unseen classes in simulation and real-world NLOS scenes. SSD also shows surprising robustness to noise and ambient illumination.",https://arxiv.org/abs/2601.12257v1,2601.12257v1,,Computer Science,arXiv,{}
"Where It Moves, It Matters: Referring Surgical Instrument Segmentation via Motion",Meng Wei; Kun Yuan; Shi Li; Yue Zhou; Long Bai; Nassir Navab; Hongliang Ren; Hong Joo Lee; Tom Vercauteren; Nicolas Padoy,2026,AAAI 2026,AAAI 2026,"Enabling intuitive, language-driven interaction with surgical scenes is a critical step toward intelligent operating rooms and autonomous surgical robotic assistance. However, the task of referring segmentation, localizing surgical instruments based on natural language descriptions, remains underexplored in surgical videos, with existing approaches struggling to generalize due to reliance on static visual cues and predefined instrument names. In this work, we introduce SurgRef, a novel motion-guided framework that grounds free-form language expressions in instrument motion, capturing how tools move and interact across time, rather than what they look like. This allows models to understand and segment instruments even under occlusion, ambiguity, or unfamiliar terminology. To train and evaluate SurgRef, we present Ref-IMotion, a diverse, multi-institutional video dataset with dense spatiotemporal masks and rich motion-centric expressions. SurgRef achieves state-of-the-art accuracy and generalization across surgical procedures, setting a new benchmark for robust, language-driven surgical video segmentation.",https://arxiv.org/abs/2601.12224v1,2601.12224v1,,Computer Science,arXiv,{}
PosterVerse: A Full-Workflow Framework for Commercial-Grade Poster Generation with HTML-Based Scalable Typography,Junle Liu; Peirong Zhang; Yuyi Zhang; Pengyu Yan; Hui Zhou; Xinyue Zhou; Fengjun Guo; Lianwen Jin,2026,AAAI 2026 Oral,AAAI 2026 Oral,"Commercial-grade poster design demands the seamless integration of aesthetic appeal with precise, informative content delivery. Current automated poster generation systems face significant limitations, including incomplete design workflows, poor text rendering accuracy, and insufficient flexibility for commercial applications. To address these challenges, we propose PosterVerse, a full-workflow, commercial-grade poster generation method that seamlessly automates the entire design process while delivering high-density and scalable text rendering. PosterVerse replicates professional design through three key stages: (1) blueprint creation using fine-tuned LLMs to extract key design elements from user requirements, (2) graphical background generation via customized diffusion models to create visually appealing imagery, and (3) unified layout-text rendering with an MLLM-powered HTML engine to guarantee high text accuracy and flexible customization. In addition, we introduce PosterDNA, a commercial-grade, HTML-based dataset tailored for training and validating poster design models. To the best of our knowledge, PosterDNA is the first Chinese poster generation dataset to introduce HTML typography files, enabling scalable text rendering and fundamentally solving the challenges of rendering small and high-density text. Experimental results demonstrate that PosterVerse consistently produces commercial-grade posters with appealing visuals, accurate text alignment, and customizable layouts, making it a promising solution for automating commercial poster design. The code and model are available at https://github.com/wuhaer/PosterVerse.",https://arxiv.org/abs/2601.03993v1,2601.03993v1,,Computer Science,arXiv,{}
LendNova: Towards Automated Credit Risk Assessment with Language Models,Kiarash Shamsi; Danijel Novokmet; Joshua Peters; Mao Lin Liu; Paul K Edwards; Vahab Khoshdel,2026,"AAAI 2026, Workshop on Agentic AI in Financial Services","AAAI 2026, Workshop on Agentic AI in Financial Services","Credit risk assessment is essential in the financial sector, but has traditionally depended on costly feature-based models that often fail to utilize all available information in raw credit records. This paper introduces LendNova, the first practical automated end-to-end pipeline for credit risk assessment, designed to utilize all available information in raw credit records by leveraging advanced NLP techniques and language models. LendNova transforms risk modeling by operating directly on raw, jargon-heavy credit bureau text using a language model that learns task-relevant representations without manual feature engineering. By automatically capturing patterns and risk signals embedded in the text, it replaces manual preprocessing steps, reducing costs and improving scalability. Evaluation on real-world data further demonstrates its strong potential in accurate and efficient risk assessment. LendNova establishes a baseline for intelligent credit risk agents, demonstrating the feasibility of language models in this domain. It lays the groundwork for future research toward foundation systems that enable more accurate, adaptable, and automated financial decision-making.",https://arxiv.org/abs/2601.02573v1,2601.02573v1,,Computer Science,arXiv,{}
ChaosBench-Logic: A Benchmark for Logical and Symbolic Reasoning on Chaotic Dynamical Systems,Noel Thomas,2026,"AAAI 2026 Bridge Program on Logical and Symbolic Reasoning in Language Models, Singapore, Jan 2026","AAAI 2026 Bridge Program on Logical and Symbolic Reasoning in Language Models, Singapore, Jan 2026","Large language models (LLMs) excel at natural language tasks but remain brittle in domains requiring precise logical and symbolic reasoning. Chaotic dynamical systems provide an especially demanding test because chaos is deterministic yet often misinterpreted as randomness or complexity. We introduce ChaosBench-Logic, a benchmark that evaluates LLM reasoning across 30 diverse dynamical systems using a unified first-order logic (FOL) ontology. Each system is annotated with truth assignments for 11 semantic predicates, and 621 questions are generated across seven reasoning categories, including multi-hop implications, cross-system analogies, counterfactual reasoning, bias probes, and multi-turn dialogues. We define metrics for logical accuracy, implication consistency, dialogue coherence, and contradiction, and we release an open-source evaluation pipeline. Initial experiments show that frontier LLMs such as GPT-4, Claude 3.5 Sonnet, Gemini 2.5 Flash, and the open-source LLaMA-3 70B achieve 91-94% per-item accuracy, yet still score 0% on compositional items and exhibit fragile global coherence. Dialogue-level accuracy ranges from 53.1% (GPT-4 CoT) to 75.5% (LLaMA-3 zero-shot). ChaosBench-Logic provides a rigorous testbed for diagnosing such failures and a foundation for developing neuro-symbolic approaches that improve scientific reasoning in LLMs.",https://arxiv.org/abs/2601.01982v1,2601.01982v1,,Computer Science,arXiv,{}
Graph-Based Exploration for ARC-AGI-3 Interactive Reasoning Tasks,Evgenii Rudakov; Jonathan Shock; Benjamin Ultan Cowley,2025,AAAI 2026 Workshop on AI for Scientific Research,AAAI 2026 Workshop on AI for Scientific Research,"We present a training-free graph-based approach for solving interactive reasoning tasks in the ARC-AGI-3 benchmark. ARC-AGI-3 comprises game-like tasks where agents must infer task mechanics through limited interactions, and adapt to increasing complexity as levels progress. Success requires forming hypotheses, testing them, and tracking discovered mechanics. The benchmark has revealed that state-of-the-art LLMs are currently incapable of reliably solving these tasks. Our method combines vision-based frame processing with systematic state-space exploration using graph-structured representations. It segments visual frames into meaningful components, prioritizes actions based on visual salience, and maintains a directed graph of explored states and transitions. By tracking visited states and tested actions, the agent prioritizes actions that provide the shortest path to untested state-action pairs. On the ARC-AGI-3 Preview Challenge, this structured exploration strategy solves a median of 30 out of 52 levels across six games and ranks 3rd on the private leaderboard, substantially outperforming frontier LLM-based agents. These results demonstrate that explicit graph-structured exploration, even without learning, can serve as a strong baseline for interactive reasoning and underscore the importance of systematic state tracking and action prioritization in sparse-feedback environments where current LLMs fail to capture task dynamics. The code is open source and available at https://github.com/dolphin-in-a-coma/arc-agi-3-just-explore.",https://arxiv.org/abs/2512.24156v1,2512.24156v1,,Computer Science,arXiv,{}
Theory of Mind for Explainable Human-Robot Interaction,Marie S. Bauer; Julia Gachot; Matthias Kerzel; Cornelius Weber; Stefan Wermter,2025,Theory of Mind for Artificial Intelligence (ToM4AI) at AAAI 2026,Theory of Mind for Artificial Intelligence (ToM4AI) at AAAI 2026,"Within the context of human-robot interaction (HRI), Theory of Mind (ToM) is intended to serve as a user-friendly backend to the interface of robotic systems, enabling robots to infer and respond to human mental states. When integrated into robots, ToM allows them to adapt their internal models to users' behaviors, enhancing the interpretability and predictability of their actions. Similarly, Explainable Artificial Intelligence (XAI) aims to make AI systems transparent and interpretable, allowing humans to understand and interact with them effectively. Since ToM in HRI serves related purposes, we propose to consider ToM as a form of XAI and evaluate it through the eValuation XAI (VXAI) framework and its seven desiderata. This paper identifies a critical gap in the application of ToM within HRI, as existing methods rarely assess the extent to which explanations correspond to the robot's actual internal reasoning. To address this limitation, we propose to integrate ToM within XAI frameworks. By embedding ToM principles inside XAI, we argue for a shift in perspective, as current XAI research focuses predominantly on the AI system itself and often lacks user-centered explanations. Incorporating ToM would enable a change in focus, prioritizing the user's informational needs and perspective.",https://arxiv.org/abs/2512.23482v3,2512.23482v3,,Computer Science,arXiv,{}
DuGI-MAE: Improving Infrared Mask Autoencoders via Dual-Domain Guidance,Yinghui Xing; Xiaoting Su; Shizhou Zhang; Donghao Chu; Di Xu,2025,Proceedings of the 40th AAAI Conference on Artificial Intelligence (AAAI 2026),Proceedings of the 40th AAAI Conference on Artificial Intelligence (AAAI 2026),"Infrared imaging plays a critical role in low-light and adverse weather conditions. However, due to the distinct characteristics of infrared images, existing foundation models such as Masked Autoencoder (MAE) trained on visible data perform suboptimal in infrared image interpretation tasks. To bridge this gap, an infrared foundation model known as InfMAE was developed and pre-trained on large-scale infrared datasets. Despite its effectiveness, InfMAE still faces several limitations, including the omission of informative tokens, insufficient modeling of global associations, and neglect of non-uniform noise. In this paper, we propose a Dual-domain Guided Infrared foundation model based on MAE (DuGI-MAE). First, we design a deterministic masking strategy based on token entropy, preserving only high-entropy tokens for reconstruction to enhance informativeness. Next, we introduce a Dual-Domain Guidance (DDG) module, which simultaneously captures global token relationships and adaptively filters non-uniform background noise commonly present in infrared imagery. To facilitate large-scale pretraining, we construct Inf-590K, a comprehensive infrared image dataset encompassing diverse scenes, various target types, and multiple spatial resolutions. Pretrained on Inf-590K, DuGI-MAE demonstrates strong generalization capabilities across various downstream tasks, including infrared object detection, semantic segmentation, and small target detection. Experimental results validate the superiority of the proposed method over both supervised and self-supervised comparison methods. Our code is available in the supplementary material.",https://arxiv.org/abs/2512.04511v1,2512.04511v1,,Computer Science,arXiv,{}
Step-by-step Layered Design Generation,Faizan Farooq Khan; K J Joseph; Koustava Goswami; Mohamed Elhoseiny; Balaji Vasan Srinivasan,2025,AAAI 2026,AAAI 2026,"Design generation, in its essence, is a step-by-step process where designers progressively refine and enhance their work through careful modifications. Despite this fundamental characteristic, existing approaches mainly treat design synthesis as a single-step generation problem, significantly underestimating the inherent complexity of the creative process. To bridge this gap, we propose a novel problem setting called Step-by-Step Layered Design Generation, which tasks a machine learning model with generating a design that adheres to a sequence of instructions from a designer. Leveraging recent advancements in multi-modal LLMs, we propose SLEDGE: Step-by-step LayEred Design GEnerator to model each update to a design as an atomic, layered change over its previous state, while being grounded in the instruction. To complement our new problem setting, we introduce a new evaluation suite, including a dataset and a benchmark. Our exhaustive experimental analysis and comparison with state-of-the-art approaches tailored to our new setup demonstrate the efficacy of our approach. We hope our work will attract attention to this pragmatic and under-explored research area.",https://arxiv.org/abs/2512.03335v1,2512.03335v1,,Computer Science,arXiv,{}
Robust Tabular Foundation Models,Matthew Peroni; Franck Le; Vadim Sheinin,2025,"Shaping Responsible Synthetic Data in the Era of Foundation Models, AAAI 2026","Shaping Responsible Synthetic Data in the Era of Foundation Models, AAAI 2026","The development of tabular foundation models (TFMs) has accelerated in recent years, showing strong potential to outperform traditional ML methods for structured data. A key finding is that TFMs can be pretrained entirely on synthetic datasets, opening opportunities to design data generators that encourage desirable model properties. Prior work has mainly focused on crafting high-quality priors over generators to improve overall pretraining performance. Our insight is that parameterizing the generator distribution enables an adversarial robustness perspective: during training, we can adapt the generator to emphasize datasets that are particularly challenging for the model. We formalize this by introducing an optimality gap measure, given by the difference between TFM performance and the best achievable performance as estimated by strong baselines such as XGBoost, CatBoost, and Random Forests. Building on this idea, we propose Robust Tabular Foundation Models (RTFM), a model-agnostic adversarial training framework. Applied to the TabPFN V2 classifier, RTFM improves benchmark performance, with up to a 6% increase in mean normalized AUC over the original TabPFN and other baseline algorithms, while requiring less than 100k additional synthetic datasets. These results highlight a promising new direction for targeted adversarial training and fine-tuning of TFMs using synthetic data alone.",https://arxiv.org/abs/2512.03307v1,2512.03307v1,,Computer Science,arXiv,{}
Culture Affordance Atlas: Reconciling Object Diversity Through Functional Mapping,Joan Nwatu; Longju Bai; Oana Ignat; Rada Mihalcea,2025,AAAI 2026 Social Impact Track,AAAI 2026 Social Impact Track,"Culture shapes the objects people use and for what purposes, yet mainstream Vision-Language (VL) datasets frequently exhibit cultural biases, disproportionately favoring higher-income, Western contexts. This imbalance reduces model generalizability and perpetuates performance disparities, especially impacting lower-income and non-Western communities. To address these disparities, we propose a novel function-centric framework that categorizes objects by the functions they fulfill, across diverse cultural and economic contexts. We implement this framework by creating the Culture Affordance Atlas, a re-annotated and culturally grounded restructuring of the Dollar Street dataset spanning 46 functions and 288 objects publicly available at https://lit.eecs.umich.edu/CultureAffordance-Atlas/index.html. Through extensive empirical analyses using the CLIP model, we demonstrate that function-centric labels substantially reduce socioeconomic performance gaps between high- and low-income groups by a median of 6 pp (statistically significant), improving model effectiveness for lower-income contexts. Furthermore, our analyses reveals numerous culturally essential objects that are frequently overlooked in prominent VL datasets. Our contributions offer a scalable pathway toward building inclusive VL datasets and equitable AI systems.",https://arxiv.org/abs/2512.03173v1,2512.03173v1,,Computer Science,arXiv,{}
Enhancing Foundation Models in Transaction Understanding with LLM-based Sentence Embeddings,Xiran Fan; Zhimeng Jiang; Chin-Chia Michael Yeh; Yuzhong Chen; Yingtong Dou; Menghai Pan; Yan Zheng,2025,"Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track (EMNLP 2025), pages 903-911","Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: Industry Track (EMNLP 2025), pages 903-911","The ubiquity of payment networks generates vast transactional data encoding rich consumer and merchant behavioral patterns. Recent foundation models for transaction analysis process tabular data sequentially but rely on index-based representations for categorical merchant fields, causing substantial semantic information loss by converting rich textual data into discrete tokens. While Large Language Models (LLMs) can address this limitation through superior semantic understanding, their computational overhead challenges real-time financial deployment. We introduce a hybrid framework that uses LLM-generated embeddings as semantic initializations for lightweight transaction models, balancing interpretability with operational efficiency. Our approach employs multi-source data fusion to enrich merchant categorical fields and a one-word constraint principle for consistent embedding generation across LLM architectures. We systematically address data quality through noise filtering and context-aware enrichment. Experiments on large-scale transaction datasets demonstrate significant performance improvements across multiple transaction understanding tasks.",https://arxiv.org/abs/2601.05271v1,2601.05271v1,10.18653/v1/2025.emnlp-industry.61,Computer Science,arXiv,{}
Whose Personae? Synthetic Persona Experiments in LLM Research and Pathways to Transparency,Jan Batzner; Volker Stocker; Bingjun Tang; Anusha Natarajan; Qinhao Chen; Stefan Schmid; Gjergji Kasneci,2025,"Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society, 8(1), 2025, 343-354","Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society, 8(1), 2025, 343-354","Synthetic personae experiments have become a prominent method in Large Language Model alignment research, yet the representativeness and ecological validity of these personae vary considerably between studies. Through a review of 63 peer-reviewed studies published between 2023 and 2025 in leading NLP and AI venues, we reveal a critical gap: task and population of interest are often underspecified in persona-based experiments, despite personalization being fundamentally dependent on these criteria. Our analysis shows substantial differences in user representation, with most studies focusing on limited sociodemographic attributes and only 35% discussing the representativeness of their LLM personae. Based on our findings, we introduce a persona transparency checklist that emphasizes representative sampling, explicit grounding in empirical data, and enhanced ecological validity. Our work provides both a comprehensive assessment of current practices and practical guidelines to improve the rigor and ecological validity of persona-based evaluations in language model alignment research.",https://arxiv.org/abs/2512.00461v1,2512.00461v1,10.1609/aies.v8i1.36553,Computer Science,arXiv,{}
mmPred: Radar-based Human Motion Prediction in the Dark,Junqiao Fan; Haocong Rao; Jiarui Zhang; Jianfei Yang; Lihua Xie,2025,AAAI-2026,AAAI-2026,"Existing Human Motion Prediction (HMP) methods based on RGB-D cameras are sensitive to lighting conditions and raise privacy concerns, limiting their real-world applications such as firefighting and healthcare. Motivated by the robustness and privacy-preserving nature of millimeter-wave (mmWave) radar, this work introduces radar as a novel sensing modality for HMP, for the first time. Nevertheless, radar signals often suffer from specular reflections and multipath effects, resulting in noisy and temporally inconsistent measurements, such as body-part miss-detection. To address these radar-specific artifacts, we propose mmPred, the first diffusion-based framework tailored for radar-based HMP. mmPred introduces a dual-domain historical motion representation to guide the generation process, combining a Time-domain Pose Refinement (TPR) branch for learning fine-grained details and a Frequency-domain Dominant Motion (FDM) branch for capturing global motion trends and suppressing frame-level inconsistency. Furthermore, we design a Global Skeleton-relational Transformer (GST) as the diffusion backbone to model global inter-joint cooperation, enabling corrupted joints to dynamically aggregate information from others. Extensive experiments show that mmPred achieves state-of-the-art performance, outperforming existing methods by 8.6% on mmBody and 22% on mm-Fi.",https://arxiv.org/abs/2512.00345v1,2512.00345v1,,Computer Science,arXiv,{}
Causal machine learning for predicting treatment outcomes,Stefan Feuerriegel; Dennis Frauen; Valentyn Melnychuk; Jonas Schweisthal; Konstantin Hess; Alicia Curth; Stefan Bauer; Niki Kilbertus; Isaac S. Kohane; Mihaela van der Schaar,2024,"Nature Medicine, vol. 30, pp. 958-968 (2024)","Nature Medicine, vol. 30, pp. 958-968 (2024)","Causal machine learning (ML) offers flexible, data-driven methods for predicting treatment outcomes including efficacy and toxicity, thereby supporting the assessment and safety of drugs. A key benefit of causal ML is that it allows for estimating individualized treatment effects, so that clinical decision-making can be personalized to individual patient profiles. Causal ML can be used in combination with both clinical trial data and real-world data, such as clinical registries and electronic health records, but caution is needed to avoid biased or incorrect predictions. In this Perspective, we discuss the benefits of causal ML (relative to traditional statistical or ML approaches) and outline the key components and steps. Finally, we provide recommendations for the reliable use of causal ML and effective translation into the clinic.",https://arxiv.org/abs/2410.08770v1,2410.08770v1,10.1038/s41591-024-02902-1,Medicine,arXiv,{}
"AI Workflow, External Validation, and Development in Eye Disease Diagnosis",Qingyu Chen; Tiarnan D L Keenan; Elvira Agron; Alexis Allot; Emily Guan; Bryant Duong; Amr Elsawy; Benjamin Hou; Cancan Xue; Sanjeeb Bhandari; Geoffrey Broadhead; Chantal Cousineau-Krieger; Ellen Davis; William G Gensheimer; David Grasic; Seema Gupta; Luis Haddock; Eleni Konstantinou; Tania Lamba; Michele Maiberger; Dimosthenis Mantopoulos; Mitul C Mehta; Ayman G Nahri; Mutaz AL-Nawaflh; Arnold Oshinsky; Brittany E Powell; Boonkit Purt; Soo Shin; Hillary Stiefel; Alisa T Thavikulwat; Keith James Wroblewski; Tham Yih Chung; Chui Ming Gemmy Cheung; Ching-Yu Cheng; Emily Y Chew; Michelle R. Hribar; Michael F. Chiang; Zhiyong Lu,2024,"JAMA Network Open, 2025","JAMA Network Open, 2025","Timely disease diagnosis is challenging due to increasing disease burdens and limited clinician availability. AI shows promise in diagnosis accuracy but faces real-world application issues due to insufficient validation in clinical workflows and diverse populations. This study addresses gaps in medical AI downstream accountability through a case study on age-related macular degeneration (AMD) diagnosis and severity classification. We designed and implemented an AI-assisted diagnostic workflow for AMD, comparing diagnostic performance with and without AI assistance among 24 clinicians from 12 institutions with real patient data sampled from the Age-Related Eye Disease Study (AREDS). Additionally, we demonstrated continual enhancement of an existing AI model by incorporating approximately 40,000 additional medical images (named AREDS2 dataset). The improved model was then systematically evaluated using both AREDS and AREDS2 test sets, as well as an external test set from Singapore. AI assistance markedly enhanced diagnostic accuracy and classification for 23 out of 24 clinicians, with the average F1-score increasing by 20% from 37.71 (Manual) to 45.52 (Manual + AI) (P-value < 0.0001), achieving an improvement of over 50% in some cases. In terms of efficiency, AI assistance reduced diagnostic times for 17 out of the 19 clinicians tracked, with time savings of up to 40%. Furthermore, a model equipped with continual learning showed robust performance across three independent datasets, recording a 29% increase in accuracy, and elevating the F1-score from 42 to 54 in the Singapore population.",https://arxiv.org/abs/2409.15087v2,2409.15087v2,10.1001/jamanetworkopen.2025.17204,Medicine,arXiv,{}
A Toolbox for Surfacing Health Equity Harms and Biases in Large Language Models,Stephen R. Pfohl; Heather Cole-Lewis; Rory Sayres; Darlene Neal; Mercy Asiedu; Awa Dieng; Nenad Tomasev; Qazi Mamunur Rashid; Shekoofeh Azizi; Negar Rostamzadeh; Liam G. McCoy; Leo Anthony Celi; Yun Liu; Mike Schaekermann; Alanna Walton; Alicia Parrish; Chirag Nagpal; Preeti Singh; Akeiylah Dewitt; Philip Mansfield; Sushant Prakash; Katherine Heller; Alan Karthikesalingam; Christopher Semturs; Joelle Barral; Greg Corrado; Yossi Matias; Jamila Smith-Loud; Ivor Horn; Karan Singhal,2024,Nature Medicine (2024),Nature Medicine (2024),"Large language models (LLMs) hold promise to serve complex health information needs but also have the potential to introduce harm and exacerbate health disparities. Reliably evaluating equity-related model failures is a critical step toward developing systems that promote health equity. We present resources and methodologies for surfacing biases with potential to precipitate equity-related harms in long-form, LLM-generated answers to medical questions and conduct a large-scale empirical case study with the Med-PaLM 2 LLM. Our contributions include a multifactorial framework for human assessment of LLM-generated answers for biases, and EquityMedQA, a collection of seven datasets enriched for adversarial queries. Both our human assessment framework and dataset design process are grounded in an iterative participatory approach and review of Med-PaLM 2 answers. Through our empirical study, we find that our approach surfaces biases that may be missed via narrower evaluation approaches. Our experience underscores the importance of using diverse assessment methodologies and involving raters of varying backgrounds and expertise. While our approach is not sufficient to holistically assess whether the deployment of an AI system promotes equitable health outcomes, we hope that it can be leveraged and built upon towards a shared goal of LLMs that promote accessible and equitable healthcare.",https://arxiv.org/abs/2403.12025v2,2403.12025v2,10.1038/s41591-024-03258-2,Medicine,arXiv,{}
Crowdsourcing Dermatology Images with Google Search Ads: Creating a Real-World Skin Condition Dataset,Abbi Ward; Jimmy Li; Julie Wang; Sriram Lakshminarasimhan; Ashley Carrick; Bilson Campana; Jay Hartford; Pradeep Kumar S; Tiya Tiyasirichokchai; Sunny Virmani; Renee Wong; Yossi Matias; Greg S. Corrado; Dale R. Webster; Dawn Siegel; Steven Lin; Justin Ko; Alan Karthikesalingam; Christopher Semturs; Pooja Rao,2024,JAMA Network Open (2024),JAMA Network Open (2024),"Background: Health datasets from clinical sources do not reflect the breadth and diversity of disease in the real world, impacting research, medical education, and artificial intelligence (AI) tool development. Dermatology is a suitable area to develop and test a new and scalable method to create representative health datasets.
  Methods: We used Google Search advertisements to invite contributions to an open access dataset of images of dermatology conditions, demographic and symptom information. With informed contributor consent, we describe and release this dataset containing 10,408 images from 5,033 contributions from internet users in the United States over 8 months starting March 2023. The dataset includes dermatologist condition labels as well as estimated Fitzpatrick Skin Type (eFST) and Monk Skin Tone (eMST) labels for the images.
  Results: We received a median of 22 submissions/day (IQR 14-30). Female (66.72%) and younger (52% < age 40) contributors had a higher representation in the dataset compared to the US population, and 32.6% of contributors reported a non-White racial or ethnic identity. Over 97.5% of contributions were genuine images of skin conditions. Dermatologist confidence in assigning a differential diagnosis increased with the number of available variables, and showed a weaker correlation with image sharpness (Spearman's P values <0.001 and 0.01 respectively). Most contributions were short-duration (54% with onset < 7 days ago ) and 89% were allergic, infectious, or inflammatory conditions. eFST and eMST distributions reflected the geographical origin of the dataset. The dataset is available at github.com/google-research-datasets/scin .
  Conclusion: Search ads are effective at crowdsourcing images of health conditions. The SCIN dataset bridges important gaps in the availability of representative images of common skin conditions.",https://arxiv.org/abs/2402.18545v1,2402.18545v1,10.1001/jamanetworkopen.2024.46615,Medicine,arXiv,{}
Adapted Large Language Models Can Outperform Medical Experts in Clinical Text Summarization,Dave Van Veen; Cara Van Uden; Louis Blankemeier; Jean-Benoit Delbrouck; Asad Aali; Christian Bluethgen; Anuj Pareek; Malgorzata Polacin; Eduardo Pontes Reis; Anna Seehofnerova; Nidhi Rohatgi; Poonam Hosamani; William Collins; Neera Ahuja; Curtis P. Langlotz; Jason Hom; Sergios Gatidis; John Pauly; Akshay S. Chaudhari,2023,"Nature Medicine, 2024","Nature Medicine, 2024","Analyzing vast textual data and summarizing key information from electronic health records imposes a substantial burden on how clinicians allocate their time. Although large language models (LLMs) have shown promise in natural language processing (NLP), their effectiveness on a diverse range of clinical summarization tasks remains unproven. In this study, we apply adaptation methods to eight LLMs, spanning four distinct clinical summarization tasks: radiology reports, patient questions, progress notes, and doctor-patient dialogue. Quantitative assessments with syntactic, semantic, and conceptual NLP metrics reveal trade-offs between models and adaptation methods. A clinical reader study with ten physicians evaluates summary completeness, correctness, and conciseness; in a majority of cases, summaries from our best adapted LLMs are either equivalent (45%) or superior (36%) compared to summaries from medical experts. The ensuing safety analysis highlights challenges faced by both LLMs and medical experts, as we connect errors to potential medical harm and categorize types of fabricated information. Our research provides evidence of LLMs outperforming medical experts in clinical text summarization across multiple tasks. This suggests that integrating LLMs into clinical workflows could alleviate documentation burden, allowing clinicians to focus more on patient care.",https://arxiv.org/abs/2309.07430v5,2309.07430v5,10.1038/s41591-024-02855-5,Medicine,arXiv,{}
